fixture_external_id,bookmaker,market,price,captured_at
9001,Bet9ja,1,2.05,2026-06-24T09:00:00.000Z
9001,Bet9ja,X,3.10,2026-06-24T09:00:00.000Z
9001,Bet9ja,2,3.60,2026-06-24T09:00:00.000Z
9001,SportyBet,1,2.02,2026-06-24T09:00:00.000Z
9001,SportyBet,X,3.20,2026-06-24T09:00:00.000Z
9002,Bet9ja,1,1.88,2026-06-24T09:05:00.000Z
9002,Bet9ja,X,3.25,2026-06-24T09:05:00.000Z
9002,Bet9ja,2,4.10,2026-06-24T09:05:00.000Z
9002,SportyBet,1,1.91,2026-06-24T09:05:00.000Z
9002,SportyBet,2,4.00,2026-06-24T09:05:00.000Z
9003,Bet9ja,1,2.40,2026-06-24T09:10:00.000Z
9003,Bet9ja,X,2.95,2026-06-24T09:10:00.000Z
9003,Bet9ja,2,2.95,2026-06-24T09:10:00.000Z
9003,SportyBet,1,2.35,2026-06-24T09:10:00.000Z
9003,SportyBet,X,3.00,2026-06-24T09:10:00.000Z
9004,Bet9ja,1,1.72,2026-06-24T09:15:00.000Z
9004,Bet9ja,X,3.55,2026-06-24T09:15:00.000Z
9004,Bet9ja,2,5.20,2026-06-24T09:15:00.000Z
9004,SportyBet,1,1.76,2026-06-24T09:15:00.000Z
9004,SportyBet,2,5.10,2026-06-24T09:15:00.000Z
